node_label,lat,lon,pop
81111_5,-17.06960554,27.5063502,1440
80204_9,-16.97464465,27.5166515,101
81111_2,-17.09273967,27.53420029,1496
81111_7,-17.0638611,27.54958644,2868
80204_1,-16.9169778,27.54403612,178
81111_3,-17.04346602,27.55443606,932
80204_2,-16.93812283,27.56243262,229
81111_6,-17.0983516,27.56767402,389
81111_4,-17.04972218,27.57860564,2214
80204_5,-16.93385922,27.58899259,436
80211_6,-16.82836907,27.59032649,339
80204_8,-16.90372394,27.59898372,120
81111_8,-17.03322532,27.60297855,842
80206_6,-16.50162773,27.60466522,552
80206_3,-16.49104752,27.60184705,1141
81111_1,-17.06660638,27.6104138,217
80204_3,-16.88783008,27.61229361,100
80206_7,-16.50966324,27.61428624,348
80206_1,-16.48584838,27.6159929,163
81102_5,-17.02642621,27.62902661,102
80204_6,-16.94599779,27.62571314,100
81102_1,-17.01246193,27.6416031,425
81102_6,-17.03455526,27.64997772,372
80204_10,-16.89874654,27.65053392,166
80206_2,-16.51780488,27.65295632,123
81102_9,-17.00422316,27.66413335,177
81102_2,-16.9771499,27.66081454,868
80209_1,-16.62887892,27.65935122,100
80204_4,-16.95633246,27.66744267,145
80204_7,-16.90755599,27.6748168,100
80211_7,-16.87730142,27.66939183,450
81102_3,-16.97418601,27.67519378,496
80211_2,-16.82037969,27.67948109,361
81102_4,-17.00817949,27.68727838,126
80207_4,-16.59509675,27.68867391,226
80206_5,-16.52493696,27.69047963,271
81102_8,-16.98053669,27.70826361,436
81102_7,-16.96523401,27.70101761,145
80209_7,-16.75960539,27.71013896,774
80206_4,-16.54091274,27.71740271,209
80209_9,-16.64509235,27.72896499,599
80211_8,-16.9098302,27.73375899,522
80207_7,-16.59727511,27.739422,328
80211_5,-16.83161234,27.75099841,1294
80211_3,-16.79131452,27.75754882,575
80209_6,-16.7160837,27.75450647,820
80207_6,-16.55026045,27.75501445,240
80211_1,-16.8580273,27.76023414,284
80207_9,-16.58917173,27.75971678,477
80207_2,-16.50709741,27.76562872,132
80209_4,-16.62749902,27.77252919,964
80211_4,-16.82041414,27.77684385,737
80209_8,-16.64836512,27.78081242,1140
80207_10,-16.57059653,27.78126913,272
80202_10,-16.76320734,27.79002382,1044
80209_3,-16.64209416,27.81536561,604
80207_1,-16.55439552,27.81259465,204
80209_10,-16.59879753,27.8203117,505
80202_2,-16.80493285,27.82741434,1380
80202_5,-16.76647459,27.82925469,853
80207_3,-16.46815103,27.83318594,210
80203_2,-16.79907444,27.84107138,514
80203_8,-16.79011519,27.8449541,337
80203_3,-16.80223964,27.85754094,787
80207_8,-16.52431737,27.85280421,344
80203_10,-16.82029556,27.86058808,224
80203_9,-16.796494,27.87439231,150
80203_4,-16.77144495,27.87903755,110
80202_6,-16.73795271,27.88083674,873
80202_3,-16.68794587,27.88568047,281
80209_2,-16.59855759,27.88388457,1267
80203_6,-16.76863769,27.89610565,334
80207_5,-16.50959319,27.89319605,231
80203_7,-16.7581049,27.90980622,269
80209_5,-16.5592012,27.90916551,656
80201_1,-16.5200492,27.92158979,124
80201_4,-16.42425209,27.92455449,100
80201_11,-16.43825836,27.92761501,109
80202_4,-16.7629772,27.94129777,619
80201_7,-16.50763603,27.94753158,265
80203_1,-16.79828122,27.95659489,242
80202_7,-16.72700385,27.95704709,1030
80201_8,-16.54044866,27.95026197,271
80201_5,-16.50430669,27.95750132,401
80201_9,-16.42822717,27.95182193,401
80201_2,-16.49477877,27.98206747,481
80208_9,-16.59313342,27.99047053,209
80201_6,-16.46981812,27.98432231,138
80201_12,-16.49525025,27.99809575,240
80201_3,-16.46726797,27.99465388,266
80202_9,-16.69457863,28.00276961,580
80201_10,-16.48337743,28.01644673,156
80208_2,-16.57985925,28.0228442,568
80210_8,-16.47679841,28.04128127,203
80210_7,-16.46968398,28.04704383,100
80202_8,-16.76324043,28.05456706,624
80208_7,-16.6802389,28.05358538,240
80210_5,-16.46919337,28.06044059,349
80208_1,-16.6262958,28.07432507,378
80208_6,-16.56722458,28.06960297,353
80210_11,-16.50492687,28.06897374,364
80210_2,-16.38786722,28.08400833,100
80210_4,-16.47522002,28.09447845,354
80202_1,-16.73187919,28.10987384,151
80210_3,-16.53403933,28.11267232,165
80210_10,-16.4560979,28.11650659,346
80210_6,-16.4946933,28.12043432,252
80208_8,-16.65672389,28.13853915,530
80210_12,-16.44863467,28.13453846,280
80210_9,-16.43138314,28.15229476,125
80208_5,-16.55713984,28.18956046,215
80210_1,-16.41217131,28.18589085,100
80208_3,-16.62156504,28.20416184,556
80208_4,-16.50330445,28.22543528,180
80208_10,-16.58640271,28.27033868,573
